tree,SPR_dist,order,dist_type,dist_value
1,5,1,RF,60
1,10,1,RF,86
1,15,1,RF,126
1,20,1,RF,138
1,25,1,RF,146
1,30,1,RF,154
1,35,1,RF,156
1,40,1,RF,162
1,45,1,RF,168
1,50,1,RF,170
1,55,1,RF,168
1,60,1,RF,170
1,65,1,RF,176
1,70,1,RF,182
1,75,1,RF,180
1,80,1,RF,180
1,85,1,RF,184
1,90,1,RF,184
1,95,1,RF,184
1,100,1,RF,186
1,5,1,HOP,10
1,10,1,HOP,16
1,15,1,HOP,21
1,20,1,HOP,33
1,25,1,HOP,43
1,30,1,HOP,54
1,35,1,HOP,58
1,40,1,HOP,61
1,45,1,HOP,68
1,50,1,HOP,72
1,55,1,HOP,68
1,60,1,HOP,72
1,65,1,HOP,79
1,70,1,HOP,80
1,75,1,HOP,81
1,80,1,HOP,82
1,85,1,HOP,80
1,90,1,HOP,83
1,95,1,HOP,84
1,100,1,HOP,87
1,5,2,HOP,9
1,10,2,HOP,24
1,15,2,HOP,33
1,20,2,HOP,44
1,25,2,HOP,51
1,30,2,HOP,65
1,35,2,HOP,67
1,40,2,HOP,70
1,45,2,HOP,71
1,50,2,HOP,74
1,55,2,HOP,73
1,60,2,HOP,74
1,65,2,HOP,80
1,70,2,HOP,81
1,75,2,HOP,83
1,80,2,HOP,85
1,85,2,HOP,87
1,90,2,HOP,87
1,95,2,HOP,87
1,100,2,HOP,88
1,5,3,HOP,15
1,10,3,HOP,22
1,15,3,HOP,42
1,20,3,HOP,52
1,25,3,HOP,56
1,30,3,HOP,64
1,35,3,HOP,63
1,40,3,HOP,66
1,45,3,HOP,69
1,50,3,HOP,71
1,55,3,HOP,71
1,60,3,HOP,73
1,65,3,HOP,74
1,70,3,HOP,77
1,75,3,HOP,78
1,80,3,HOP,79
1,85,3,HOP,82
1,90,3,HOP,83
1,95,3,HOP,83
1,100,3,HOP,83
1,5,4,HOP,12
1,10,4,HOP,20
1,15,4,HOP,27
1,20,4,HOP,36
1,25,4,HOP,43
1,30,4,HOP,54
1,35,4,HOP,57
1,40,4,HOP,61
1,45,4,HOP,68
1,50,4,HOP,71
1,55,4,HOP,66
1,60,4,HOP,70
1,65,4,HOP,76
1,70,4,HOP,78
1,75,4,HOP,80
1,80,4,HOP,80
1,85,4,HOP,83
1,90,4,HOP,82
1,95,4,HOP,83
1,100,4,HOP,84
1,5,5,HOP,13
1,10,5,HOP,20
1,15,5,HOP,32
1,20,5,HOP,45
1,25,5,HOP,55
1,30,5,HOP,65
1,35,5,HOP,70
1,40,5,HOP,70
1,45,5,HOP,70
1,50,5,HOP,76
1,55,5,HOP,70
1,60,5,HOP,77
1,65,5,HOP,80
1,70,5,HOP,80
1,75,5,HOP,81
1,80,5,HOP,83
1,85,5,HOP,84
1,90,5,HOP,85
1,95,5,HOP,86
1,100,5,HOP,85
1,5,6,HOP,18
1,10,6,HOP,30
1,15,6,HOP,38
1,20,6,HOP,52
1,25,6,HOP,57
1,30,6,HOP,65
1,35,6,HOP,65
1,40,6,HOP,68
1,45,6,HOP,72
1,50,6,HOP,75
1,55,6,HOP,73
1,60,6,HOP,75
1,65,6,HOP,80
1,70,6,HOP,80
1,75,6,HOP,80
1,80,6,HOP,81
1,85,6,HOP,82
1,90,6,HOP,82
1,95,6,HOP,85
1,100,6,HOP,85
1,5,7,HOP,9
1,10,7,HOP,23
1,15,7,HOP,37
1,20,7,HOP,42
1,25,7,HOP,47
1,30,7,HOP,54
1,35,7,HOP,60
1,40,7,HOP,64
1,45,7,HOP,66
1,50,7,HOP,75
1,55,7,HOP,75
1,60,7,HOP,76
1,65,7,HOP,76
1,70,7,HOP,78
1,75,7,HOP,79
1,80,7,HOP,81
1,85,7,HOP,83
1,90,7,HOP,84
1,95,7,HOP,84
1,100,7,HOP,85
1,5,8,HOP,17
1,10,8,HOP,28
1,15,8,HOP,47
1,20,8,HOP,51
1,25,8,HOP,55
1,30,8,HOP,67
1,35,8,HOP,70
1,40,8,HOP,73
1,45,8,HOP,75
1,50,8,HOP,77
1,55,8,HOP,78
1,60,8,HOP,79
1,65,8,HOP,80
1,70,8,HOP,82
1,75,8,HOP,83
